osDAirInletPressurePa-int_value,Air Inlet Pressure,Vehicle Diagnostics,General,2,0,499000,0,0,0,0
osDAirInletTempMilliC-int_value,Air Inlet Temperature,Vehicle Diagnostics,General,2,-39500,209500,0,0,0,0
osDApparentPowerVoltAmpere-int_value,Apparent Power,Vehicle Diagnostics,General,2,0,0,0,0,0,0
osDAt1DpfSootLoadPercent-int_value,Soot Load,Vehicle Diagnostics,General,1,0,250,0,0,0,0
osDAverageACCurrentMilliAmps-int_value,Average AC Current,Vehicle Diagnostics,General,2,0,64254500,0,0,0,0
osDAverageACFrequencyMicroHertz-int_value,Average AC Frequency,Vehicle Diagnostics,General,2,0,501988281.25,0,0,0,0
osDAverageLineToLineACRMSMilliVolts-int_value,Average Line to Line ACRMS Voltage,Vehicle Diagnostics,General,2,0,64254500,0,0,0,0
osDAverageLineToNeutralACRMSMilliVolts-int_value,Line to Neutral ARCMS Voltage,Vehicle Diagnostics,General,2,0,64254500,0,0,0,0
osDBatteryPotentialSwitchedMilliV-int_value,Battery Potential,Vehicle Diagnostics,General,2,0,3212725,0,0,0,0
osDBoostPressurePa-int_value,Boost Pressure,Vehicle Diagnostics,General,2,0,499000,0,0,0,0
osDBoostPressureTurbocharger1Pa-int_value,Boost Pressure - Turbocharger,Vehicle Diagnostics,General,2,0,8031812.5,0,0,0,0
osDBoostPressureTurbocharger2Pa-int_value,Boost Pressure Turbocharger 2,Vehicle Diagnostics,General,2,0,8031812.5,0,0,0,0
osDCanConnected-int_value,Vehicle Network Connection,Vehicle Diagnostics,General,0,0,5,0,0,0,0
osDCoastingTimeTorqueBasedIgnoringBrakeMs-int_value,Coasting Time,Vehicle Diagnostics,EcoDriving,0,0,600000,0,0,0,0
osDCommandSchedulerStats-int_value,Command Scheduler Debug,Vehicle Diagnostics,Debug,0,0,0,0,0,0,0
osDDEFTankLevelMillipercent-int_value,DEF Level,Vehicle Diagnostics,Maintenance Alerts,1,400,100000,0,10000,0,0
osDDeltaAccelEngineTorqueOverLimitMs-int_value,Engine Torque Over Limit,Vehicle Diagnostics,EcoDriving,1,0,600000,0,0,0,0
