kinesisstats.osDAirInletPressurePa,Air Inlet Pressure,Vehicle Diagnostics,General,int_value,2,0,499000,0,0,0,0
kinesisstats.osDAirInletTempMilliC,Air Inlet Temperature,Vehicle Diagnostics,General,int_value,2,-39500,209500,0,0,0,0
kinesisstats.osDApparentPowerVoltAmpere,Apparent Power,Vehicle Diagnostics,General,int_value,2,0,0,0,0,0,0
kinesisstats.osDAt1DpfSootLoadPercent,Soot Load,Vehicle Diagnostics,General,int_value,1,0,250,0,0,0,0
kinesisstats.osDAverageACCurrentMilliAmps,Average AC Current,Vehicle Diagnostics,General,int_value,2,0,64254500,0,0,0,0
kinesisstats.osDAverageACFrequencyMicroHertz,Average AC Frequency,Vehicle Diagnostics,General,int_value,2,0,501988281.25,0,0,0,0
kinesisstats.osDAverageLineToLineACRMSMilliVolts,Average Line to Line ACRMS Voltage,Vehicle Diagnostics,General,int_value,2,0,64254500,0,0,0,0
kinesisstats.osDAverageLineToNeutralACRMSMilliVolts,Line to Neutral ARCMS Voltage,Vehicle Diagnostics,General,int_value,2,0,64254500,0,0,0,0
kinesisstats.osDBatteryPotentialSwitchedMilliV,Battery Potential,Vehicle Diagnostics,General,int_value,2,0,3212725,0,0,0,0
kinesisstats.osDBoostPressurePa,Boost Pressure,Vehicle Diagnostics,General,int_value,2,0,499000,0,0,0,0
kinesisstats.osDBoostPressureTurbocharger1Pa,Boost Pressure - Turbocharger,Vehicle Diagnostics,General,int_value,2,0,8031812.5,0,0,0,0
kinesisstats.osDBoostPressureTurbocharger2Pa,Boost Pressure Turbocharger 2,Vehicle Diagnostics,General,int_value,2,0,8031812.5,0,0,0,0
kinesisstats.osDCanConnected,Vehicle Network Connection,Vehicle Diagnostics,General,int_value,0,0,5,0,0,0,0
kinesisstats.osDCoastingTimeTorqueBasedIgnoringBrakeMs,Coasting Time,Vehicle Diagnostics,EcoDriving,int_value,0,0,600000,0,0,0,0
kinesisstats.osDCommandSchedulerStats,Command Scheduler Debug,Vehicle Diagnostics,Debug,int_value,0,0,0,0,0,0,0
kinesisstats.osDDEFTankLevelMillipercent,DEF Level,Vehicle Diagnostics,Maintenance Alerts,int_value,1,400,100000,0,10000,0,0
kinesisstats.osDDeltaAccelEngineTorqueOverLimitMs,Engine Torque Over Limit,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDeltaAccelEngineTorqueOverLimitWhileNotOnCruiseControlMs,Engine Torque Over Limit,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDeltaAcceleratorPedalTimeGreaterThan95PercentMs,Accelerator over 95%,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDeltaAnticipationBrakeEvents,Anticipation Braking,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDeltaBrakeEvents,Brake Events,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDeltaCoastingTimeMs,Coasting Time,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDeltaCoastingTimeTorqueBasedWhileNotOnCruiseControlMs,Coasting Time,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDeltaCoastingTimeWhileNotOnCruiseControlMs,Coasting Time,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDeltaCruiseControlMs,Cruise Control,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDeltaEvChargingEnergyMicroWh,Charging Energy,Vehicle Diagnostics,EV,int_value,0,0,0,0,0,0,0
kinesisstats.osDDeltaEvDistanceDrivenOnElectricPowerMeters,Distance Driven on Electric,Vehicle Diagnostics,EV,int_value,0,0,0,0,0,0,0
kinesisstats.osDDeltaEvEnergyConsumedMicroWh,Consumed Energy,Vehicle Diagnostics,EV,int_value,0,0,0,0,0,0,0
kinesisstats.osDDeltaEvTotalEnergyRegeneratedWhileDrivingMicroWh,Regenerated Energy,Vehicle Diagnostics,EV,int_value,0,0,0,0,0,0,0
kinesisstats.osDDeltaFuelConsumed,Fuel Consumed - Liquid,Vehicle Diagnostics,Fuel,int_value,0,0,100000,0,0,0,0
kinesisstats.osDDeltaGpsDistance,GPS Distance,Platform,General,double_value,0,0,0,0,0,0,0
kinesisstats.osDDeltaRpmGreenBandMs,RPM Green Band,Vehicle Diagnostics,EcoDriving,int_value,1,0,600000,0,0,0,0
kinesisstats.osDDerivedEngineSecondsFromIgnitionCycle,Engine Runtime,Vehicle Diagnostics,Compliance,int_value,0,0,0,0,0,0,0
kinesisstats.osDDistanceServiceMeters,Service Distance,Vehicle Diagnostics,General,int_value,2,-160635000,160637500,0,0,0,0
kinesisstats.osDDpfLampStatus,DPF Lamp Status,Vehicle Diagnostics,Maintenance Alerts,int_value,1,0,0,0,0,0,0
kinesisstats.osDEcuHistoryTotalRunTimeSec,ECU History,Vehicle Diagnostics,General,int_value,2,0,0,0,0,0,0
kinesisstats.osDEngineFault,Engine Faults,Vehicle Diagnostics,Core Maintenance,int_value,0,0,0,0,0,0,0
kinesisstats.osDEngineFault,Engine Faults,Vehicle Diagnostics,Core Maintenance,j1939_fault_count,0,0,0,0,0,0,0
kinesisstats.osDEngineFault,Engine Faults,Vehicle Diagnostics,Core Maintenance,passenger_fault_count,0,0,0,0,0,0,0
kinesisstats.osDEngineGauge,Air Temperature,Vehicle Diagnostics,General,proto_value.engine_gauge_event.air_temp_milli_c,1,-272984.375,1734953.125,0,0,0,0
kinesisstats.osDEngineGauge,Barometric Pressure,Vehicle Diagnostics,General,proto_value.engine_gauge_event.barometer_pa,2,0,254500,0,0,0,0
kinesisstats.osDEngineGauge,12V Battery Voltage,Vehicle Diagnostics,General,proto_value.engine_gauge_event.battery_milli_v,0,0,3276725,0,0,0,0
kinesisstats.osDEngineGauge,Engine Coolant Temperature,Vehicle Diagnostics,General,proto_value.engine_gauge_event.coolant_temp_milli_c,0,-39500,214500,0,0,0,0
kinesisstats.osDEngineGauge,Engine Load,Vehicle Diagnostics,General,proto_value.engine_gauge_event.engine_load_percent,1,0,127.25,0,0,0,0
kinesisstats.osDEngineGauge,Engine Runtime Since Ignition,Vehicle Diagnostics,General,proto_value.engine_gauge_event.engine_on_secs,2,0.5,65534.5,0,0,0,0
kinesisstats.osDEngineGauge,Engine RPM,Vehicle Diagnostics,General,proto_value.engine_gauge_event.engine_rpm,0,0,16383.625,0,0,0,0
kinesisstats.osDEngineGauge,Fuel Economy,Vehicle Diagnostics,General,proto_value.engine_gauge_event.fuel_economy_meters_per_k_g,2,0,125497.0703125,0,0,0,0
kinesisstats.osDEngineGauge,Fuel Level,Vehicle Diagnostics,Fuel,proto_value.engine_gauge_event.fuel_level_percent,1,0.4,100,0,10,0,0
kinesisstats.osDEngineGauge,Fuel Temperature,Vehicle Diagnostics,General,proto_value.engine_gauge_event.fuel_temp_milli_c,2,-39500,209500,0,0,0,0
kinesisstats.osDEngineGauge,Manifold Temperature,Vehicle Diagnostics,General,proto_value.engine_gauge_event.mnfld_temp_milli_c,2,-39500,214500,0,0,0,0
kinesisstats.osDEngineGauge,Oil Pressure,Vehicle Diagnostics,General,proto_value.engine_gauge_event.oil_pressure_k_pa,1,0,998,0,0,0,0
kinesisstats.osDEngineGauge,Tire Pressure - Back Left,Vehicle Diagnostics,General,proto_value.engine_gauge_event.tire_pressure_back_left_k_pa,1,0,0,0,0,0,0
kinesisstats.osDEngineGauge,Tire Pressure - Back Right,Vehicle Diagnostics,General,proto_value.engine_gauge_event.tire_pressure_back_right_k_pa,1,0,0,0,0,0,0
kinesisstats.osDEngineGauge,Tire Pressure - Front Left,Vehicle Diagnostics,General,proto_value.engine_gauge_event.tire_pressure_front_left_k_pa,1,0,0,0,0,0,0
kinesisstats.osDEngineGauge,Tire Pressure - Front Right,Vehicle Diagnostics,General,proto_value.engine_gauge_event.tire_pressure_front_right_k_pa,1,0,0,0,0,0,0
kinesisstats.osDEngineMilliknots,Vehicle Speed,Vehicle Diagnostics,General,int_value,0,0,137420,0,0,-20276,20276
kinesisstats.osDEngineOilTempMicroC,Engine Oil Temperature,Vehicle Diagnostics,General,int_value,2,-272984375,1734953125,0,0,0,0
kinesisstats.osDEngineSeconds,Engine Hours,Vehicle Diagnostics,Compliance,int_value,0,0,773094113010,0,20000,0,0
kinesisstats.osDEngineState,Engine State,Vehicle Diagnostics,Compliance,int_value,1,0,2,0,0,0,0
kinesisstats.osDEvAverageCellTemperatureMilliCelsius,Average Cell Temperature,Vehicle Diagnostics,EV,int_value,0,0,0,0,0,0,0
kinesisstats.osDEvChargerMilliAmp,Charger Current,Vehicle Diagnostics,EV,int_value,0,0,0,0,0,0,0
kinesisstats.osDEvChargerMilliVolt,Charger Voltage,Vehicle Diagnostics,EV,int_value,0,0,0,0,0,0,0
kinesisstats.osDEvChargingStatus,Charging Status,Vehicle Diagnostics,EV,int_value,0,0,3,0,0,0,0
